annee_numero_de_tirage,jour_de_tirage,date_de_tirage,date_de_forclusion,boule_1,boule_2,boule_3,boule_4,boule_5,boules,numero_chance,combinaison_gagnante_en_ordre_croissant,nombre_de_gagnant_au_rang1,rapport_du_rang1,nombre_de_gagnant_au_rang2,rapport_du_rang2,nombre_de_gagnant_au_rang3,rapport_du_rang3,nombre_de_gagnant_au_rang4,rapport_du_rang4,nombre_de_gagnant_au_rang5,rapport_du_rang5,nombre_de_gagnant_au_rang6,rapport_du_rang6,numero_jokerplus,devise
2014123,LUNDI,2014-10-13,2014-12-13,29,15,1,12,30,"29,15,1,12,30",1,1-12-15-29-30+1,0,0,2,82403.8,561,632.2,19275,7.9,241269,4.5,246470,2,6 546 760,eur
2016084,MERCREDI,2016-07-13,2016-09-12,30,28,47,34,7,"30,28,47,34,7",10,7-28-30-34-47+10,0,0,1,252644,395,1376.5,20626,11.4,317656,5.3,355120,2,9 675 275,eur
2016088,SAMEDI,2016-07-23,2016-09-22,2,27,33,21,15,"2,27,33,21,15",10,2-15-21-27-33+10,1,3000000,5,56675,729,836.5,28974,9.1,381397,4.9,401550,2,9 380 754,eur
2016133,SAMEDI,2016-11-05,2017-01-05,16,42,21,6,34,"16,42,21,6,34",5,6-16-21-34-42+5,1,2000000,3,100120.7,582,1110.7,25288,11,364455,5.4,650038,2,2 877 195,eur
2016113,LUNDI,2016-09-19,2016-11-19,41,37,20,18,45,"41,37,20,18,45",10,18-20-37-41-45+10,0,0,1,176618.6,431,881.9,12309,13.3,190781,6.1,247054,2,6 267 109,eur
2016086,LUNDI,2016-07-18,2016-09-17,29,25,2,39,20,"29,25,2,39,20",7,2-20-25-29-39+7,1,14000000,0,0,376,1567.6,15855,11,231684,5.3,533412,2,3 145 516,eur
2016130,SAMEDI,2016-10-29,2016-12-29,21,36,44,26,14,"21,36,44,26,14",4,14-21-26-36-44+4,0,0,5,68838.7,740,1001,28741,11.1,417081,5.4,610472,2,4 228 848,eur
2016116,LUNDI,2016-09-26,2016-11-26,4,23,26,19,27,"4,23,26,19,27",7,4-19-23-26-27+7,2,1500000,5,33515.8,555,649.8,21612,7.2,263147,4.2,486058,2,3 350 725,eur
2016119,LUNDI,2016-10-03,2016-12-03,46,43,7,22,8,"46,43,7,22,8",10,7-8-22-43-46+10,0,0,0,0,246,2141.5,14702,10.6,223091,4.9,235123,2,3 994 346,eur
2016104,LUNDI,2016-08-29,2016-10-29,44,36,49,25,48,"44,36,49,25,48",2,25-36-44-48-49+2,0,0,0,0,281,1796.4,11767,12.6,170349,6.2,245428,2,7 786 379,eur
2016098,LUNDI,2016-08-15,2016-10-15,16,31,25,27,26,"16,31,25,27,26",7,16-25-26-27-31+7,0,0,0,0,287,1551.1,13231,9.9,183145,5.1,417399,2,1 727 775,eur
2016079,SAMEDI,2016-07-02,2016-09-01,8,24,31,17,16,"8,24,31,17,16",5,8-16-17-24-31+5,1,3000000,2,144977.7,738,845.5,31231,8.6,402942,4.7,613655,2,8 368 829,eur
2016039,MERCREDI,2016-03-30,2016-05-30,43,20,46,35,23,"43,20,46,35,23",6,20-23-35-43-46+6,0,0,1,221497.3,291,1638.1,14035,14.7,225915,6.5,426493,2,1 023 425,eur
2016070,SAMEDI,2016-06-11,2016-08-11,7,17,22,46,44,"7,17,22,46,44",6,7-17-22-44-46+6,2,3500000,3,105317.7,823,826.2,32068,9.1,438038,4.8,625364,2,3 181 723,eur
2016063,MERCREDI,2016-05-25,2016-07-25,20,12,36,21,4,"20,12,36,21,4",3,4-12-20-21-36+3,0,0,0,0,478,1407,22077,9,301050,4.7,403898,2,9 410 264,eur
2016054,MERCREDI,2016-05-04,2016-07-04,15,7,42,8,24,"15,7,42,8,24",9,7-8-15-24-42+9,0,0,1,230293.4,596,831.5,25734,8.3,341007,4.5,393397,2,0 771 787,eur
2016046,SAMEDI,2016-04-16,2016-06-16,33,25,36,39,40,"33,25,36,39,40",9,25-33-36-39-40+9,1,10000000,0,0,444,2371.4,21385,14.5,330576,6.7,576707,2,0 746 665,eur
2016042,MERCREDI,2016-04-06,2016-06-06,21,19,28,24,44,"21,19,28,24,44",5,19-21-24-28-44+5,0,0,0,0,517,1421.2,23250,9.3,323364,4.8,500859,2,3 917 420,eur
2016058,SAMEDI,2016-05-14,2016-07-14,42,28,30,1,27,"42,28,30,1,27",5,1-27-28-30-42+5,0,0,1,302423.9,449,1449.5,24176,11.6,388491,5.1,652090,2,7 950 211,eur
2016073,SAMEDI,2016-06-18,2016-08-18,18,33,10,20,39,"18,33,10,20,39",3,10-18-20-33-39+3,0,0,2,146790.5,521,1212.7,24360,11.2,372680,5.2,541961,2,6 339 868,eur
2016153,MERCREDI,2016-12-21,2017-02-20,25,42,17,39,22,"25,42,17,39,22",6,17-22-25-39-42+6,0,0,1,228653.2,491,1002.2,20038,10.6,284316,5.3,438487,2,2 118 680,eur
2016144,MERCREDI,2016-11-30,2017-01-30,9,33,31,3,40,"9,33,31,3,40",5,3-9-31-33-40+5,1,3000000,0,0,385,1797.1,18294,11.1,273069,5.3,466783,2,5 747 528,eur
2017011,MERCREDI,2017-01-25,2017-03-27,10,19,20,28,4,"10,19,20,28,4",2,4-10-19-20-28+2,0,0,4,55844.6,980,490.5,32627,6.3,365027,4,342602,2,0 978 257,eur
2016139,SAMEDI,2016-11-19,2017-01-19,34,48,41,46,36,"34,48,41,46,36",7,34-36-41-46-48+7,0,0,3,103736.2,508,1318.4,18844,15.4,286403,7.2,880084,2,7 365 600,eur
2016147,MERCREDI,2016-12-07,2017-02-06,5,44,7,2,45,"5,44,7,2,45",3,2-5-7-44-45+3,0,0,1,230807.2,450,1103.8,23525,9.1,333584,4.6,438796,2,3 198 160,eur
2016136,SAMEDI,2016-11-12,2017-01-12,29,11,19,16,2,"29,11,19,16,2",8,2-11-16-19-29+8,0,0,7,42326,1194,534,40538,6.8,468918,4.2,537669,2,5 068 531,eur
2017015,SAMEDI,2017-02-04,2017-04-06,32,22,1,35,37,"32,22,1,35,37",7,1-22-32-35-37+7,0,0,3,107974.2,425,1640.3,21462,14,348975,6.1,936044,2,0 550 757,eur
2016137,LUNDI,2016-11-14,2017-01-14,41,6,14,16,26,"41,6,14,16,26",2,6-14-16-26-41+2,0,0,1,176712.8,392,970.1,17432,9.4,233011,5,277892,2,5 343 551,eur
2016134,LUNDI,2016-11-07,2017-01-07,1,46,21,6,31,"1,46,21,6,31",6,1-6-21-31-46+6,0,0,0,0,329,1607.5,14983,10.4,213523,5.2,335364,2,8 837 084,eur
2016149,LUNDI,2016-12-12,2017-02-11,12,14,11,6,36,"12,14,11,6,36",6,6-11-12-14-36+6,0,0,0,0,386,1411,20388,7.9,269573,4.2,332739,2,7 764 727,eur
2016020,LUNDI,2016-02-15,2016-04-16,37,21,38,4,10,"37,21,38,4,10",5,4-10-21-37-38+5,0,0,1,179565.2,312,1238.6,14779,11.3,222601,5.3,398018,2,0 255 090,eur
2016035,LUNDI,2016-03-21,2016-05-21,3,34,42,37,10,"3,34,42,37,10",2,3-10-34-37-42+2,0,0,1,169420.4,332,1098.2,12754,12.3,196356,5.7,259267,2,7 393 820,eur
2015156,MERCREDI,2015-12-30,2016-02-29,16,2,34,25,1,"16,2,34,25,1",5,1-2-16-25-34+5,0,0,1,256116.2,404,1364.3,21261,11.2,318876,5.3,573587,2,0 839 965,eur
2016031,SAMEDI,2016-03-12,2016-05-12,27,17,9,25,46,"27,17,9,25,46",6,9-17-25-27-46+6,0,0,1,331201.3,736,968.4,34865,8.8,470141,4.6,647331,2,6 837 735,eur
2016034,SAMEDI,2016-03-19,2016-05-19,49,13,4,36,18,"49,13,4,36,18",5,4-13-18-36-49+5,0,0,0,0,734,1294.5,29506,9.5,407327,4.9,639289,2,6 859 102,eur
2016017,LUNDI,2016-02-08,2016-04-09,30,1,28,39,11,"30,1,28,39,11",6,1-11-28-30-39+6,0,0,0,0,345,1662.4,17037,9.9,244222,4.9,348441,2,3 908 634,eur
2016010,SAMEDI,2016-01-23,2016-03-24,42,3,15,41,33,"42,3,15,41,33",3,3-15-33-41-42+3,0,0,2,174120,513,1460.9,25398,12.7,396038,5.8,643965,2,2 987 505,eur
2016008,LUNDI,2016-01-18,2016-03-19,2,5,3,10,1,"2,5,3,10,1",4,1-2-3-5-10+4,0,0,17,11710.5,2278,188,31079,5.9,317655,4.1,358145,2,1 179 797,eur
2015087,MERCREDI,2015-07-22,2015-09-21,36,30,33,31,24,"36,30,33,31,24",1,24-30-31-33-36+1,0,0,2,103940,273,1638.8,13575,14.2,219110,6.3,303775,2,3 195 554,eur
2015099,MERCREDI,2015-08-19,2015-10-19,21,6,45,34,38,"21,6,45,34,38",4,6-21-34-38-45+4,0,0,1,219506.1,357,1323.2,16091,12.7,241375,6,394338,2,7 060 223,eur
2015082,SAMEDI,2015-07-11,2015-09-10,14,26,4,23,36,"14,26,4,23,36",1,4-14-23-26-36+1,1,10000000,5,76351.5,908,904.8,35822,9.9,495936,5.1,570113,2,6 467 633,eur
2015084,MERCREDI,2015-07-15,2015-09-14,46,2,30,43,14,"46,2,30,43,14",8,2-14-30-43-46+8,0,0,0,0,270,2388,13610,14,223920,6,360242,2,4 073 846,eur
2015111,MERCREDI,2015-09-16,2015-11-16,7,34,42,11,17,"7,34,42,11,17",6,7-11-17-34-42+6,0,0,4,66301.6,685,833.2,29003,8.5,385109,4.5,539949,2,0 966 820,eur
2015096,MERCREDI,2015-08-12,2015-10-12,15,43,1,24,8,"15,43,1,24,8",2,1-8-15-24-43+2,0,0,3,69588.9,511,879.2,21435,9,292518,4.7,316942,2,8 396 701,eur
2015089,LUNDI,2015-07-27,2015-09-26,14,28,37,41,6,"14,28,37,41,6",5,6-14-28-37-41+5,0,0,0,0,350,1417.6,13339,11,189494,5.5,350139,2,3 187 523,eur
2015110,LUNDI,2015-09-14,2015-11-14,3,43,48,37,49,"3,43,48,37,49",2,3-37-43-48-49+2,0,0,1,209619.4,255,1769.1,14872,13.1,226857,6.1,324151,2,8 689 015,eur
2015091,SAMEDI,2015-08-01,2015-10-01,9,31,24,34,23,"9,31,24,34,23",9,9-23-24-31-34+9,0,0,0,0,469,1966.9,24983,10.9,381618,5.1,497920,2,7 353 742,eur
2015092,LUNDI,2015-08-03,2015-10-03,48,10,49,1,39,"48,10,49,1,39",1,1-10-39-48-49+1,1,5000000,0,0,318,1647.6,14315,10.8,203981,5.4,248370,2,2 565 192,eur
2015114,MERCREDI,2015-09-23,2015-11-23,35,49,18,20,31,"35,49,18,20,31",3,18-20-31-35-49+3,0,0,1,217841.8,310,1512.3,15368,13.2,249269,5.8,409125,2,7 466 033,eur
2015153,MERCREDI,2015-12-23,2016-02-22,13,17,28,46,42,"13,17,28,46,42",2,13-17-28-42-46+2,0,0,5,75897.3,727,1123.4,34160,10.3,488756,5.1,607331,2,5 164 422,eur
2015145,SAMEDI,2015-12-05,2016-02-04,9,26,47,20,27,"9,26,47,20,27",7,9-20-26-27-47+7,0,0,3,107235.1,667,1038,30882,9.7,450371,4.7,901275,2,8 267 605,eur
2015134,LUNDI,2015-11-09,2016-01-09,25,32,8,37,39,"25,32,8,37,39",10,8-25-32-37-39+10,0,0,0,0,271,2145.4,13028,13.2,199117,6.1,251108,2,0 952 163,eur
2015136,SAMEDI,2015-11-14,2016-01-14,34,29,47,10,37,"34,29,47,10,37",10,10-29-34-37-47+10,0,0,0,0,487,2110.3,22547,13.4,354830,6.1,452245,2,5 311 796,eur
2015135,MERCREDI,2015-11-11,2016-01-11,17,1,6,13,15,"17,1,6,13,15",2,1-6-13-15-17+2,0,0,6,35789.3,892,518.1,31267,6.4,359235,3.9,326748,2,9 195 279,eur
2015149,LUNDI,2015-12-14,2016-02-13,31,49,7,20,11,"31,49,7,20,11",7,7-11-20-31-49+7,0,0,2,101341.6,624,699,24580,7.6,315222,4.2,558177,2,2 967 537,eur
2015137,LUNDI,2015-11-16,2016-01-16,28,47,40,12,42,"28,47,40,12,42",1,12-28-40-42-47+1,0,0,1,205955.3,401,1105.3,17042,11.2,247528,5.5,311385,2,0 621 196,eur
2015125,LUNDI,2015-10-19,2015-12-19,36,33,31,48,47,"36,33,31,48,47",7,31-33-36-47-48+7,0,0,2,85256.1,202,1816.6,9811,16.2,160751,7,484479,2,8 740 307,eur
2015119,LUNDI,2015-10-05,2015-12-05,27,28,13,31,42,"27,28,13,31,42",6,13-27-28-31-42+6,0,0,1,165996.5,345,1035.5,16535,9.3,227969,4.8,321213,2,1 078 041,eur
2014115,MERCREDI,2014-09-24,2014-11-24,16,49,10,38,25,"16,49,10,38,25",9,10-16-25-38-49+9,1,8000000,3,76735.2,477,1038.6,19772,10.8,291745,5.2,414096,2,8 850 357,eur
2014086,SAMEDI,2014-07-19,2014-09-18,8,44,29,43,45,"8,44,29,43,45",6,8-29-43-44-45+6,0,0,1,290093.4,373,1673.8,19389,13.9,317565,6,555411,2,1 016 468,eur
2014088,MERCREDI,2014-07-23,2014-09-22,1,32,8,15,24,"1,32,8,15,24",6,1-8-15-24-32+6,0,0,0,0,491,1331.6,21237,9.1,286512,4.8,391353,2,0 927 199,eur
2014117,LUNDI,2014-09-29,2014-11-29,41,28,17,4,33,"41,28,17,4,33",5,4-17-28-33-41+5,0,0,2,82469.6,346,1025.9,14429,10.6,206907,5.3,357466,2,9 110 313,eur
2014096,LUNDI,2014-08-11,2014-10-11,36,32,11,46,25,"36,32,11,46,25",7,11-25-32-36-46+7,1,10000000,1,186964.2,354,1136.6,14210,12.2,212013,5.8,525989,2,4 104 735,eur
2014116,SAMEDI,2014-09-27,2014-11-27,26,29,9,35,38,"26,29,9,35,38",5,9-26-29-35-38+5,0,0,0,0,428,2169.9,22603,12.1,351388,5.5,644858,2,0 528 672,eur
2014090,LUNDI,2014-07-28,2014-09-27,45,14,1,42,43,"45,14,1,42,43",9,1-14-42-43-45+9,0,0,0,0,195,2615.4,10465,14.4,173614,6.2,278068,2,9 344 171,eur
2015078,MERCREDI,2015-07-01,2015-08-31,49,5,19,18,38,"49,5,19,18,38",10,5-18-19-38-49+10,0,0,1,208862.7,369,1218.1,18524,10.5,281021,4.9,279550,2,8 936 262,eur
2015024,MERCREDI,2015-02-25,2015-04-27,44,47,20,30,29,"44,47,20,30,29",1,20-29-30-44-47+1,0,0,2,116580.2,313,1603.2,15996,13.5,260104,5.9,346538,2,7 063 152,eur
2015036,MERCREDI,2015-03-25,2015-05-25,43,10,20,9,17,"43,10,20,9,17",7,9-10-17-20-43+7,0,0,2,108332.6,538,866.7,23702,8.5,320150,4.5,645978,2,5 148 962,eur
2015053,LUNDI,2015-05-04,2015-07-04,14,30,48,8,49,"14,30,48,8,49",1,8-14-30-48-49+1,0,0,1,176044.8,291,1301.9,14765,11.1,219415,5.3,266739,2,2 097 793,eur
2015034,SAMEDI,2015-03-21,2015-05-21,28,47,41,22,21,"28,47,41,22,21",5,21-22-28-41-47+5,0,0,3,105574.4,528,1290.9,25208,11.7,388362,5.4,668078,2,4 960 465,eur
2015038,LUNDI,2015-03-30,2015-05-30,4,20,13,10,32,"4,20,13,10,32",1,4-10-13-20-32+1,0,0,5,33860.8,549,663.7,20960,7.5,258214,4.3,252091,2,4 902 446,eur
2015026,LUNDI,2015-03-02,2015-05-02,17,11,27,48,23,"17,11,27,48,23",1,11-17-23-27-48+1,1,6000000,1,186529.9,632,635.1,22751,7.6,283883,4.3,276063,2,1 404 200,eur
2015030,MERCREDI,2015-03-11,2015-05-11,49,2,35,1,36,"49,2,35,1,36",4,1-2-35-36-49+4,0,0,1,228326.3,252,1949.9,14843,14.3,237966,6.3,407954,2,4 880 492,eur
2015020,LUNDI,2015-02-16,2015-04-18,36,14,9,1,20,"36,14,9,1,20",2,1-9-14-20-36+2,1,2000000,0,0,520,1049,18305,8.8,240339,4.7,260255,2,9 209 243,eur
2015047,LUNDI,2015-04-20,2015-06-20,10,37,28,15,2,"10,37,28,15,2",2,2-10-15-28-37+2,0,0,2,99226.7,479,891.6,19533,9.4,262955,5,304057,2,7 753 495,eur
2014079,MERCREDI,2014-07-02,2014-09-01,36,27,8,39,47,"36,27,8,39,47",3,8-27-36-39-47+3,1,6000000,1,227774.4,357,1373.1,16008,13.2,251995,6,423054,2,1 455 071,eur
2014073,MERCREDI,2014-06-18,2014-08-18,47,13,30,9,18,"47,13,30,9,18",3,9-13-18-30-47+3,0,0,4,64136.5,732,754.2,28199,8.4,372501,4.5,477115,2,5 174 494,eur
2014058,MERCREDI,2014-05-14,2014-07-14,6,25,21,5,33,"6,25,21,5,33",1,5-6-21-25-33+1,0,0,2,142945.6,599,1027.1,28364,9.4,412060,4.6,412154,2,2 068 372,eur
2014083,SAMEDI,2014-07-12,2014-09-11,29,23,22,13,1,"29,23,22,13,1",1,1-13-22-23-29+1,0,0,5,85561.9,1406,654.8,53733,7.4,651111,4.3,642414,2,6 518 179,eur
2014059,SAMEDI,2014-05-17,2014-07-17,48,41,37,32,43,"48,41,37,32,43",7,32-37-41-43-48+7,0,0,5,73550.8,508,1558,22915,14.9,345777,7,1044138,2,7 751 770,eur
2014076,MERCREDI,2014-06-25,2014-08-25,5,4,23,30,41,"5,4,23,30,41",4,4-5-23-30-41+4,0,0,1,216663.5,360,1295.2,19652,10.2,291040,4.9,381265,2,4 479 721,eur
2014067,MERCREDI,2014-06-04,2014-08-04,43,36,8,22,3,"43,36,8,22,3",3,3-8-22-36-43+3,0,0,1,232060.7,477,1047,19667,11,289651,5.3,427647,2,3 819 890,eur
2014081,LUNDI,2014-07-07,2014-09-06,31,41,32,14,13,"31,41,32,14,13",10,13-14-31-32-41+10,0,0,0,0,195,2598.6,10497,14.2,184077,5.8,214080,2,4 787 766,eur
2014044,SAMEDI,2014-04-12,2014-06-12,5,34,42,16,10,"5,34,42,16,10",10,5-10-16-34-42+10,0,0,0,0,537,1763.9,25787,10.8,387787,5.1,401312,2,9 652 637,eur
2014022,MERCREDI,2014-02-19,2014-04-21,44,32,25,47,27,"44,32,25,47,27",7,25-27-32-44-47+7,1,3000000,3,76422.8,331,1490.7,16005,13.3,251207,6,685614,2,8 941 237,eur
2014031,MERCREDI,2014-03-12,2014-05-12,42,36,1,20,25,"42,36,1,20,25",10,1-20-25-36-42+10,0,0,2,110758.8,328,1453.4,16163,12.7,259727,5.6,284759,2,8 411 568,eur
2014020,SAMEDI,2014-02-15,2014-04-17,33,4,12,49,18,"33,4,12,49,18",9,4-12-18-33-49+9,2,7500000,0,0,730,1387.6,33223,9,456987,4.6,567217,2,3 481 714,eur
2014006,LUNDI,2014-01-13,2014-03-15,33,3,47,29,20,"33,3,47,29,20",4,3-20-29-33-47+4,0,0,1,184040.5,313,1265.4,14522,11.8,224530,5.4,329537,2,8 920 625,eur
2014005,SAMEDI,2014-01-11,2014-03-13,35,25,18,8,39,"35,25,18,8,39",9,8-18-25-35-39+9,0,0,1,324703.8,546,1279.8,25244,11.9,383615,5.6,569666,2,2 310 746,eur
2014014,SAMEDI,2014-02-01,2014-04-03,21,2,48,41,10,"21,2,48,41,10",6,2-10-21-41-48+6,0,0,3,103156.9,644,1034.2,26399,10.9,383456,5.3,597616,2,2 849 969,eur
2017023,MERCREDI,2017-02-22,2017-04-24,17,25,22,35,43,"17,25,22,35,43",10,17-22-25-35-43+10,0,0,2,112725.6,387,1253.7,19235,10.9,278219,5.4,311568,2,6 205 294,eur
2017021,SAMEDI,2017-02-18,2017-04-20,32,23,49,1,3,"32,23,49,1,3",4,1-3-23-32-49+4,0,0,2,153627.8,610,1084,28018,10.2,404021,5,544954,2,7 242 658,eur
2017018,SAMEDI,2017-02-11,2017-04-13,37,17,29,15,1,"37,17,29,15,1",3,1-15-17-29-37+3,0,0,1,338799.8,621,1174.1,30220,10.4,442588,5.1,619286,2,3 435 317,eur
2011006,MERCREDI,2011-01-12,2011-03-14,41,40,30,28,17,"41,40,30,28,17",7,17-28-30-40-41+7,0,0,1,270442,343,1696.9,18860,13.3,303697,5.9,823225,2,3 800 351,eur
2011018,MERCREDI,2011-02-09,2011-04-11,15,31,41,27,43,"15,31,41,27,43",7,15-27-31-41-43+7,0,0,2,130126,389,1439.8,19553,12.4,293651,5.9,784398,2,3 250 425,eur
2011012,MERCREDI,2011-01-26,2011-03-28,23,45,6,48,17,"23,45,6,48,17",1,6-17-23-45-48+1,0,0,2,150606.8,569,1139.3,25335,11,377398,5.3,435442,2,1 158 514,eur
2011046,SAMEDI,2011-04-16,2011-06-16,17,35,24,47,6,"17,35,24,47,6",8,6-17-24-35-47+8,1,2000000,9,35190.5,642,1061.7,27297,10.8,398608,5.2,575164,2,9 898 394,eur
2011030,MERCREDI,2011-03-09,2011-05-09,9,43,3,29,15,"9,43,3,29,15",8,3-9-15-29-43+8,0,0,2,120578,767,676.6,28534,7.8,353952,4.5,443668,2,6 375 216,eur
2011015,MERCREDI,2011-02-02,2011-04-04,27,6,44,23,22,"27,6,44,23,22",3,6-22-23-27-44+3,0,0,0,0,497,1586,24645,9.4,353470,4.7,506278,2,3 002 770,eur
2011010,SAMEDI,2011-01-22,2011-03-24,13,27,6,31,8,"13,27,6,31,8",7,6-8-13-27-31+7,0,0,4,92798.4,1343,594.8,48796,7,579760,4.2,1111120,2,0 773 509,eur
2011020,LUNDI,2011-02-14,2011-04-16,31,35,40,9,48,"31,35,40,9,48",1,9-31-35-40-48+1,1,5000000,2,184542,517,1536.4,25387,13.5,401156,6.1,527460,2,9 751 435,eur
2011009,MERCREDI,2011-01-19,2011-03-21,36,4,12,13,1,"36,4,12,13,1",4,1-4-12-13-36+4,0,0,1,286661.9,669,922.1,32682,8.1,438120,4.3,535242,2,5 977 704,eur
2011022,SAMEDI,2011-02-19,2011-04-21,25,2,49,32,1,"25,2,49,32,1",6,1-2-25-32-49+6,0,0,2,165389.1,541,1315.8,26877,11.4,408838,5.3,639095,2,6 987 924,eur
2010132,MERCREDI,2010-11-03,2011-01-03,46,33,15,6,49,"46,33,15,6,49",1,6-15-33-46-49+1,0,0,0,0,409,2069.1,19210,11.8,285618,5.6,332778,2,3 933 212,eur
2010129,MERCREDI,2010-10-27,2010-12-27,32,13,15,46,3,"32,13,15,46,3",5,3-13-15-32-46+5,0,0,2,167759.1,413,1323.6,20439,11.5,316743,5.3,582185,2,6 384 424,eur
2010148,SAMEDI,2010-12-11,2011-02-10,38,3,9,11,28,"38,3,9,11,28",1,3-9-11-28-38+1,1,3000000,6,69033.5,1073,628.9,40511,7.2,498512,4.1,413258,2,7 703 291,eur
2010143,LUNDI,2010-11-29,2011-01-29,15,23,16,41,30,"15,23,16,41,30",8,15-16-23-30-41+8,0,0,3,67860,213,1557.2,12809,11.2,179694,5.7,287246,2,3 715 053,eur
2010134,LUNDI,2010-11-08,2011-01-08,35,6,9,14,47,"35,6,9,14,47",9,6-9-14-35-47+9,1,8000000,1,235205.5,343,1117.2,15622,10.6,230167,5.1,295023,2,7 954 694,eur
2011001,SAMEDI,2011-01-01,2011-03-03,43,49,46,34,11,"43,49,46,34,11",3,11-34-43-46-49+3,0,0,2,168693.3,361,1522.7,17996,13.2,274508,6.1,503198,2,8 304 666,eur
2011003,MERCREDI,2011-01-05,2011-03-07,27,47,4,5,32,"27,47,4,5,32",5,4-5-27-32-47+5,0,0,1,254772.9,393,1395.2,20544,11.5,328823,5.1,604710,2,2 211 696,eur
2010149,LUNDI,2010-12-13,2011-02-12,6,14,49,40,9,"6,14,49,40,9",3,6-9-14-40-49+3,0,0,2,104390.3,374,909.5,16455,8.9,224461,4.6,315267,2,7 087 601,eur
2010155,LUNDI,2010-12-27,2011-02-26,30,44,42,39,13,"30,44,42,39,13",9,13-30-39-42-44+9,0,0,0,0,230,2356.3,10734,13.5,170724,6,256911,2,2 099 817,eur
2011051,MERCREDI,2011-04-27,2011-06-27,5,26,14,28,23,"5,26,14,28,23",6,5-14-23-26-28+6,1,3000000,3,76779.7,753,658.3,27805,7.7,342972,4.4,420229,2,2 027 014,eur
2011089,LUNDI,2011-07-25,2011-09-24,38,22,3,11,41,"38,22,3,11,41",7,3-11-22-38-41+7,0,0,1,154183.7,513,646.8,15901,9,210439,4.8,459890,2,5 967 832,eur
2011048,MERCREDI,2011-04-20,2011-06-20,15,41,18,17,33,"15,41,18,17,33",9,15-17-18-33-41+9,0,0,0,0,313,2344.5,16820,12.9,269304,5.7,384883,2,2 049 312,eur
2011063,MERCREDI,2011-05-25,2011-07-25,14,45,34,27,38,"14,45,34,27,38",3,14-27-34-38-45+3,0,0,0,0,576,1513.7,22023,11.7,307050,6,529081,2,9 534 059,eur
2011076,SAMEDI,2011-06-25,2011-08-25,39,43,10,17,6,"39,43,10,17,6",3,6-10-17-39-43+3,0,0,3,112208.6,611,1185.7,29292,10.7,435219,5.1,655451,2,2 063 571,eur
2011068,LUNDI,2011-06-06,2011-08-06,10,30,45,22,13,"10,30,45,22,13",1,10-13-22-30-45+1,1,24000000,3,74313.3,582,824.4,25155,8.2,325761,4.5,314265,2,5 791 844,eur
2011047,LUNDI,2011-04-18,2011-06-18,6,10,22,7,21,"6,10,22,7,21",5,6-7-10-21-22+5,2,1000000,0,0,535,931.1,23004,6.4,281786,3.7,374036,2,7 730 098,eur
